x_position/Potential,0,1,2,3,4,
0.380762,0.056515,0.064181,0.061109,0.056741,0.060324,
0.382766,0.056785,0.064410,0.061294,0.056945,0.060545,
0.384770,0.057054,0.064635,0.061476,0.057147,0.060763,
0.386774,0.057321,0.064855,0.061655,0.057348,0.060978,
0.388778,0.057587,0.065071,0.061832,0.057548,0.061192,
0.390782,0.057852,0.065283,0.062005,0.057746,0.061403,
0.392786,0.058115,0.065489,0.062176,0.057943,0.061611,
0.394790,0.058377,0.065692,0.062344,0.058138,0.061817,
0.396794,0.058637,0.065889,0.062509,0.058332,0.062021,
0.398798,0.058896,0.066082,0.062671,0.058524,0.062222,
0.400802,0.059153,0.066269,0.062831,0.058715,0.062420,
0.402806,0.059408,0.066452,0.062987,0.058904,0.062615,
0.404810,0.059661,0.066629,0.063140,0.059092,0.062808,
0.406814,0.059913,0.066802,0.063290,0.059278,0.062998,
0.408818,0.060163,0.066969,0.063437,0.059463,0.063185,
0.410822,0.060410,0.067131,0.063580,0.059646,0.063370,
0.412826,0.060656,0.067288,0.063720,0.059828,0.063551,
0.414830,0.060900,0.067439,0.063857,0.060008,0.063730,
0.416834,0.061141,0.067585,0.063991,0.060186,0.063905,
0.418838,0.061380,0.067726,0.064121,0.060363,0.064078,
0.420842,0.061617,0.067860,0.064248,0.060538,0.064248,
0.422846,0.061852,0.067990,0.064371,0.060711,0.064414,
0.424850,0.062084,0.068113,0.064491,0.060882,0.064577,
0.426854,0.062314,0.068231,0.064607,0.061052,0.064737,
0.428858,0.062541,0.068344,0.064719,0.061220,0.064894,
0.430862,0.062766,0.068450,0.064827,0.061386,0.065047,
0.432866,0.062987,0.068551,0.064932,0.061551,0.065197,
0.434870,0.063206,0.068646,0.065032,0.061713,0.065344,
0.436874,0.063423,0.068735,0.065129,0.061874,0.065487,
0.438878,0.063636,0.068818,0.065221,0.062033,0.065626,
0.440882,0.063846,0.068895,0.065310,0.062189,0.065762,
0.442886,0.064054,0.068967,0.065394,0.062344,0.065895,
0.444890,0.064258,0.069032,0.065474,0.062497,0.066023,
0.446894,0.064459,0.069092,0.065549,0.062648,0.066148,
0.448898,0.064657,0.069145,0.065621,0.062796,0.066269,
0.450902,0.064851,0.069193,0.065688,0.062942,0.066386,
0.452906,0.065042,0.069235,0.065750,0.063086,0.066499,
0.454910,0.065230,0.069271,0.065808,0.063228,0.066608,
0.456914,0.065414,0.069301,0.065861,0.063368,0.066713,
